EN_set;Parallel;Compound;propan-1-ol_ppm;n-hepatene_ppm;o-xylene_ppm;S1_2.6_Int;S2_2.6_Int;S3_2.6_Int;S4_2.6_Int;S5_2.6_Int;S6_2.6_Int;S1_3.0_Int;S2_3.0_Int;S3_3.0_Int;S4_3.0_Int;S5_3.0_Int;S6_3.0_Int;S1_3.4_Int;S2_3.4_Int;S3_3.4_Int;S4_3.4_Int;S5_3.4_Int;S6_3.4_Int
MS 2.1;1;mixture_1;33;17;20;2.72E-05;3.66E-05;0.002753701;0.00298909;0.003323859;0.002392603;4.98E-05;1.41E-05;2.32E-05;0.001212648;0.003094229;0.00160827;0.000469908;3.80E-05;1.69E-05;2.06E-05;0.002877272;0.002026884
MS 2.1;2;mixture_1;33;17;20;2.62E-05;3.57E-05;0.002753701;0.003005229;0.003314667;0.00237113;5.21E-05;1.49E-05;2.17E-05;0.001208894;0.002980968;0.001597189;0.000501803;4.20E-05;1.63E-05;2.00E-05;0.002803737;0.001984725
MS 2.1;1;mixture_1;33;17;20;2.60E-05;3.43E-05;0.002643857;0.002734205;0.003267271;0.002399674;5.02E-05;1.52E-05;2.16E-05;0.00141513;0.003061588;0.001632468;0.000422362;3.65E-05;1.39E-05;1.90E-05;0.002499363;0.001782624
MS 2.1;2;mixture_1;33;17;20;2.80E-05;3.61E-05;0.002650866;0.002947885;0.003480751;0.002534471;4.62E-05;1.31E-05;2.08E-05;0.001190047;0.00301645;0.001607859;0.000408658;3.36E-05;1.47E-05;1.91E-05;0.002658519;0.001883291
MS 2.1;1;mixture_2;26;17;24;2.50E-05;3.09E-05;0.002152168;0.002677267;0.002778061;0.002096991;4.43E-05;1.21E-05;1.69E-05;0.001110014;0.002497657;0.001381632;0.000356402;3.11E-05;1.10E-05;1.51E-05;0.002025544;0.001411771
MS 2.1;2;mixture_2;26;17;24;2.22E-05;2.84E-05;0.002183489;0.002055267;0.002720785;0.002014396;4.00E-05;1.09E-05;1.70E-05;0.001008164;0.002428744;0.001341458;0.000368037;3.17E-05;1.16E-05;1.54E-05;0.002142993;0.001502504
MS 2.1;1;mixture_2;26;17;24;2.26E-05;2.75E-05;0.001966776;0.001972741;0.002557523;0.001954789;4.20E-05;1.16E-05;1.62E-05;0.000971397;0.002421678;0.001332451;0.000403651;3.79E-05;1.11E-05;1.63E-05;0.002004663;0.001458277
MS 2.1;2;mixture_2;26;17;24;2.41E-05;2.97E-05;0.002050446;0.002294822;0.002708034;0.002067796;4.27E-05;1.15E-05;1.69E-05;0.000892426;0.002378513;0.001279916;0.000389129;3.52E-05;1.06E-05;1.37E-05;0.001908237;0.001354758
MS 2.1;1;mixture_1;33;17;20;2.68E-05;3.40E-05;0.002839908;0.002725657;0.003313695;0.002362416;5.45E-05;1.54E-05;2.35E-05;0.001336929;0.003144993;0.001644516;0.000505017;4.22E-05;1.61E-05;1.90E-05;0.002770747;0.001908444
MS 2.1;2;mixture_1;33;17;20;2.63E-05;3.46E-05;0.002647053;0.002652548;0.003402938;0.002459007;4.81E-05;1.37E-05;2.17E-05;0.001125703;0.003038834;0.001603241;0.000398199;3.12E-05;1.53E-05;1.79E-05;0.002677841;0.001882332
